30/09/2022,context,change_to,typo,suggestions_01,suggestions_02,suggestions_03,suggestions_04,suggestions_05,suggestions_06,suggestions_07,suggestions_08,suggestions_09,suggestions_10,suggestions_11,suggestions_12,suggestions_13,suggestions_14,suggestions_15
4,vy toll of human lives. Machi <<HATTORI>>,NA,Hattori,Oratorio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,a heavy toll of human lives. <<MACHI>> Hattori,NA,Machi,Mach,Mac hi,Mac-hi,Mach i,Macho,Ma chi,Ma-chi,Malachi,Mariachi,NA,NA,NA,NA,NA,NA
4,"Fortunately, this time,<<NOTH>> Korea's long-launch rocket fa",North,Noth,North,Noah,Doth,Goth,Moth,Both,Roth,Not,Nth,Notch,Note,Nosh,Not h,NA,NA
4,ernment should emphasize that <<NOTH>> Korea must not test rocket la,North,Noth,North,Noah,Doth,Goth,Moth,Both,Roth,Not,Nth,Notch,Note,Nosh,Not h,NA,NA
6,"launch failed, but that time <<JAPANESE>> government' responce was not",NA,japanese,Japanese,japanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,sufficient. I think that the <<JAPANESE>> government must prepere more,NA,japanese,Japanese,japanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,the japanese government must <<PREPERE>> more in case rocket launch is,NA,prepere,prepare,prep ere,prep-ere,prepped,creeper,prefer,prep,NA,NA,NA,NA,NA,NA,NA,NA
6,hat time japanese government' <<RESPONCE>> was not sufficient. I think t,NA,responce,response,res ponce,res-ponce,resp once,resp-once,respond,resonance,NA,NA,NA,NA,NA,NA,NA,NA
7,"ill be killed. As soon as Kim <<JONG>>-un get this state,he purged a",NA,Jong,Jon,Song,Joni,Tong,Long,Dong,Jung,Gong,Pong,Bong,Cong,Hong,Yong,Kong,NA
7,the scientists too. Masahiro <<MAKIMURA>>,NA,Makimura,Murasaki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,may purge the scientists too. <<MASAHIRO>> Makimura,NA,Masahiro,Hiroshima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,I am worried whether <<SCIETISTS>> concerned with this failure w,NA,scietists,scientists,scientist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
