comment_ID,text
2,"Remember you can leave your 'thoughts' here about this news story, or react to other people's opinions. Personally, I am worried that because the rocket launch was a failure, North Korea will restart testing nuclear weapons next."
3,"I felt relived to hear the news that the rocket launch failed, but now I am worried,too. I can't speculate what North Korea plot to do next."
4,"Fortunately, this time,North Korea's long-launch rocket failed . But, it may success next time. It is too late that. Then, people who live around North Korea confront more fear than now. I argue that Japanese government should emphasize that North Korea must not test rocket launch and nuclear weapon again. If not , in near the future, North Korea's rocket or nuclear weapon took a heavy toll of human lives. **name** **name**"
5,"I think Japan should continue to impose economic sanctions on North Korea whether or not its missile test failed. Anyway,North Korea's missile test and nuclear testing can be great threat to the countries around it,including japan.We have to criticize North Korea for its provocative acts and send the messages to it through economic sanctions."
6,"I became worried when I first heard this news. The rocket launch failed, but that time Japanese government' response was not sufficient. I think that the Japanese government must prepare more in case rocket launch is successful."
7,"I am worried whether scientists concerned with this failure will be killed. As soon as Kim Jong-un get this state,he purged a high officer who had made a mistake.Therefore I think that he may purge the scientists too. **name** **name**"
8,"I felt worried and fear about this news. As my classmates said, Japanese government should keep more strict watch on North Korea's words and actions especially concerning nuclear. Because as we know, nuclear power can destroy everything. Also I claim Japanese people need to have a sense of crisis."
9,"The purpose of North Korea's rocket launch was to inspire the nation, but as a result, the failure emphasized lack of consideration and it made the nation disappointed. I'm afraid that the irritation caused by this failure will give rise to North Korea's more drastic actions."
10,"When I knew this news, I felt relived. However, at the same time, I felt fear. It is because I thought North Korea would test again. Japan is near North Korea. So Japan should be more careful than now, and it is important for Japan to cooperate with other countries. I hope peace will be brought on earth soon."
11,"This news made me sad. I agreed with ID1204 about Japanese government. They have a role of protecting Japanese. However, their react after failing of missile was terrible. They should learn how to protect our own country and people as a neighbor of North Korea. I thought this incident became a good opportunity of thinking about system of Japanese government."
12,"When I heard about the news, I was worried could Japan actually shoot down the rocket. This time, Japan took nearly 1 hour to confirm that North Korea had launched the rocket. I think Japan need extra strategy to protect Japan."
13,"Just like everyone else i felt relived too, and also anxious about what will North Korea do next. and also same as ID1204 and shiho0618, that i think we need to take another look at how Japanese government will correspond to the emergency."
14,"I'm disagree about ID1203's opinion because I think civilization society must think about north Korea people's human rights. In my opinion, china must cooperate with United Nations Security Council's resolution because obstacle in north Korea case is china will not agree with United Nations Security Council's resolution."
15,I felt relieved when I heard the news. It is not first time to hear the news about North Korea's rocket. I am worried that they will do something dangerous again. I think Japan should watch for them more carefully.
16,Is this a article for prepare the test on 4/23?
17,"I feel less safe after the rocket failed. North Korea will find out why the rocket failed and they will learn to launch a rocket successfully . Next time, they might do better so I don't feel safe."
18,"Yes, there will be three questions about the article in next week's quiz. Together they will be worth 30% of the final quiz score"
19,"North Korea I was reaffirmed that it is a very dangerous country by this time of missile launch.I do not know whether the missile is fired, I think, need to be more cautious because they may be fired missile to Japan time."
20,"I am relieved that there was no damage and victim. However, I think that North Korea fires the rocket again. Other countries should pay attention to North Korea more."
21,"When I heard the news for the first time,I didn't worry about it and I thought that everyone too made a fuss about it.However I heard that rocket debris crashed off Kunsan,I felt fear suddenly.i reconfirm North Korea is very dangerous,so the nation of North Korea had better purge Kim family its government."
22,↑ the nation of North Korea had better purge Kim family FROM its government
23,"North Korea is wasting its money.They should use the money for food to save its citizens, not for launching missiles. It is very dangerous that North Korea is still considering to continue on inventing weapons. Countries like America, Korea and Japan should keep on putting on pressure to North Korea, and should keep on working persuading North Korea to stop making weapons. In order to persuade North Korea, we need more help especially from China."
24,"I deeply regret that North Korea launched the rocket. This country spend much money on arms not on food for its people. Furthermore, the U.S. heard the launch and decided to stop the support of food. I worry about the life of North Korea's citizens. I strongly believe that North Korea should abolish dictatorship as soon as possible. I hope that North Korea gets the democratic government and society."
25,"First ,I was relieved that no one was injured in this rocket launch.But I have strong anxiety about the future of Japan and North Korea. The people of North Korea are under bad food condition. And Japan government is not ready for North Korea's military action. We must think about the future of East Asia and act for peace."
26,"Like most of the responses here, I felt relieved. Thinking about world peace, this act must not be allowed. Problems that North Korea has caused between the other countries are not only this, there are many others. Governments of Japan and other countries must more strongly condemn the country."
27,"I think that North Korea should use more money for food for the citizen, too.They should do that for their country's stability.Thinking about our history,there were many governments that failed because they ignored their citizen's feeling.Even if they have the strong army,they should not think lightly about citizen's power.For example,they should think about the Arab Spring."
28,"I was relieved to hear that North Korea failed to launch the missile. Always we can't predict North Korea's action,besides the interior of there is lack of stability now by changing leader,so we should pay attention more."
29,"It was a relief to hear that none of the people has been affected by the rocket. But my primary concern is other countries' nuclear test. 3 days ago, India launched a missile. It cannot say that India may do and North Korea must not do. We must not launch a missile whatever the reason we have."
