comment_ID,context,change,typo,suggestions_01,suggestions_02,suggestions_03,suggestions_04,suggestions_05,suggestions_06,suggestions_07,suggestions_08,suggestions_09,suggestions_10,suggestions_11,suggestions_12,suggestions_13,suggestions_14,suggestions_15,...20
4,vy toll of human lives. Machi <<HATTORI>>,**name**,Hattori,Oratorio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,a heavy toll of human lives. <<MACHI>> Hattori,**name**,Machi,Mach,Mac hi,Mac-hi,Mach i,Macho,Ma chi,Ma-chi,Malachi,Mariachi,NA,NA,NA,NA,NA,NA,NA
4,"Fortunately, this time,<<NOTH>> Korea's long-launch rocket fa",North,Noth,North,Noah,Doth,Goth,Moth,Both,Roth,Not,Nth,Notch,Note,Nosh,Not h,NA,NA,NA
4,ernment should emphasize that <<NOTH>> Korea must not test rocket la,North,Noth,North,Noah,Doth,Goth,Moth,Both,Roth,Not,Nth,Notch,Note,Nosh,Not h,NA,NA,NA
6,"launch failed, but that time <<JAPANESE>> government' responce was not",Japanese,japanese,Japanese,japanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,sufficient. I think that the <<JAPANESE>> government must prepere more,Japanese,japanese,Japanese,japanned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,the japanese government must <<PREPERE>> more in case rocket launch is,prepare,prepere,prepare,prep ere,prep-ere,prepped,creeper,prefer,prep,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,hat time japanese government' <<RESPONCE>> was not sufficient. I think t,response,responce,response,res ponce,res-ponce,resp once,resp-once,respond,resonance,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"ill be killed. As soon as Kim <<JONG>>-un get this state,he purged a",Jong,Jong,Jon,Song,Joni,Tong,Long,Dong,Jung,Gong,Pong,Bong,Cong,Hong,Yong,Kong,NA,NA
7,the scientists too. Masahiro <<MAKIMURA>>,**name**,Makimura,Murasaki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,may purge the scientists too. <<MASAHIRO>> Makimura,**name**,Masahiro,Hiroshima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,I am worried whether <<SCIETISTS>> concerned with this failure w,scientists,scietists,scientists,scientist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"be killed. As soon as Kim Jong-<<UN>> get this state,he purged a hi",un,un,UN,nu,in,um,u,n,sun,uni,nun,urn,run,tun,dun,gun,mun,NA
8,"my classmates said, Japanese <<GOERNMENT>> should keep more strict watch",government,goernment,government,engorgement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,t this incident became a good <<OPORTUNITY>> of thinking about system of J,opportunity,oportunity,opportunity,importunity,opportunist,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ociety must think about north <<KOREA>> people's human rights. In my,Korea,korea,chorea,Korea,korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ion because obstacle in north <<KOREA>> case is china will not agree,Korea,korea,chorea,Korea,korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,he rocket failed. North Korea <<WIL>> find out why the rocket faile,will,wil,wile,wail,wilt,will,wild,wily,ail,win,nil,wit,til,oil,wig,mil,wiz,NA
21,"hat rocket debris crashed off <<KUNSAN>>,I felt fear suddenly.i reconf",Kunsan,Kunsan,Kansan,Arkansan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,I didn't worry about it and I <<THOUGT>> that everyone too made a fuss,thought,thougt,thought,though,thou gt,thou-gt,thorough,thou,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,↑ the nation of North Korea <<HD>> better purge Kim family FROM,had,hd,hf,h,d,hid,had,hod,he,ed,hi,id,ha,ad,hr,rd,ht,NA
23,"Korea to stop making weapons. <<INORDER>> to persuade North Korea, we n",In order,Inorder,In order,In-order,Orderings,Order,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"pan should keep on putting on <<PRESURE>> to North Korea, and should ke",pressure,presure,pressure,presume,pressurize,suppress,press,pres,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"s not on food for its people. <<FURTHEMORE>>, the U.S. heard the launch an",Furthermore,Furthemore,Furthermore,Furthermost,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,I was <<RELEAVED>> to hear that North Korea fail,relieved,releaved,revealed,released,re leaved,re-leaved,leaved,leavened,bereaved,raveled,NA,NA,NA,NA,NA,NA,NA,NA
30,ould also persuade China into <<JOINIING>> in United Nations Security Co,joining,joiniing,joining,jointing,jogging,joking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"I thought that North Korea <<DOES'T>> govern to the people, though",doesn't,does't,doesn't,does,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,r energy' s factory and solve <<STARVETION>>.,starvation,starvetion,starvation,stationer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,t is very terrible that North <<KORIA>>'s rocket broke up around Japa,Korea,Koria,Korea,Korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"not for countries like North <<KORIA>>, our world would be peaceful.",Korea,Koria,Korea,Korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,t is very terrible that North <<KORIA'S>> rocket broke up around Japane,Korea's,Koria's,Korea's,Astoria's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"cket broke up around Japanese <<TERITORY>>. If it had become reality, we",territory,teritory,territory,iterator,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"elieved of the failure of the <<DPRK>>'s launching the missile. But,",DPRK,DPRK,DORK,DIRK,DARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"at of that since they, I mean <<DPRK>>, always fail to do such a thi",DPRK,DPRK,DORK,DIRK,DARK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"elieved of the failure of the <<DPRK'S>> launching the missile. But, I",DPRK's,DPRK's,Dork's,Dirk's,Dark's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"osed some sanction from other <<CONTRIES>>,as it disturbed order.If econ",countries,contries,countries,contrives,con tries,con-tries,contraries,contrition,congeries,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,lf and to go along with other <<CONTRIES>>.,countries,contries,countries,contrives,con tries,con-tries,contraries,contrition,congeries,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,my opinion that however North <<KOREA'ROCKET>> launch gave rise to criticism,Korea's rocket,Korea'rocket,Retrorocket,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"eve its aim,suply of food and <<MANEY>> and oil and so on.",money,maney,mane,many,meany,manes,matey,money,manly,maned,mangy,manky,Taney,Haney,mane y,NA,NA,NA
38,"will fail to achieve its aim,<<SUPLY>> of food and maney and oil and",supply,suply,supply,surly,sully,suppl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"ll over the world,North Korea <<WIL>> launch rocket again. But beca",will,wil,wile,wail,wilt,will,wild,wily,ail,win,nil,wit,til,oil,wig,mil,wiz,NA
40,"changed better after Kim Jong <<IL'S>> death in North Korea.In fact,",Il's,Il's,I's,Ila's,In's,Ir's,Io's,Al's,Tl's,Cl's,ID's,IV's,Eel's,Nil's,Oil's,Ill's,Mil's,NA
40,ight changed better after Kim <<JONG>> Il's death in North Korea.In,Jong,Jong,Jon,Song,Joni,Tong,Long,Dong,Jung,Gong,Pong,Bong,Cong,Hong,Yong,Kong,NA,NA
40,e must pay attention to North <<KOREA>>.,Korea,korea,chorea,Korea,korma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,structure of North Korea. The <<LOUNCH>> of rocket failed this time.Bu,launch,lounch,lunch,launch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,the implant in own face? Its <<SOOOO>> horrible!,so,soooo,soot,soon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"sile, it produced a number of <<CASUALITIES>> 20% of the time! We cannot gu",casualties,casualities,causalities,casualties,actualities,suitcases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,rticle which I read after the <<ENGLISH>> class made my mind. The artic,English,english,English,glisten,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
